date,ticker,entry_price,exit_price,amount
1969-07-03,COCOA FUTURE      Jul23,94.70520892959358,,0.0
1969-07-03,CORN FUTURE       Jul23,102.9144076736256,,-0.0
1969-07-03,LIVE CATTLE FUTR  Aug23,132.07467343593015,,-0.0
1969-07-03,COTTON NO.2 FUTR  Jul23,82.88648031945235,,0.0
1969-08-29,SOYBEAN FUTURE    Jul23,"Dates
1969-07-03    98.533882
Name: SOYBEAN FUTURE    Jul23, dtype: float64",102.91435723225457,-2348862.0143201705
1969-08-29,COCOA FUTURE      Jul23,"Dates
1969-07-03    94.705209
Name: COCOA FUTURE      Jul23, dtype: float64",81.56840297653117,0.0
1969-08-29,CORN FUTURE       Jul23,"Dates
1969-07-03    102.914408
Name: CORN FUTURE       Jul23, dtype: float64",101.57495768221177,-0.0
1969-08-29,LIVE CATTLE FUTR  Aug23,"Dates
1969-07-03    132.074673
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",127.2145539161248,-0.0
1969-08-29,COTTON NO.2 FUTR  Jul23,"Dates
1969-07-03    82.88648
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",80.10757069513481,0.0
1969-08-29,COTTON NO.2 FUTR  Jul23,80.10757069513481,,38901.674685684346
1969-08-29,SOYBEAN FUTURE    Jul23,102.91435723225457,,-0.0
1969-08-29,COCOA FUTURE      Jul23,81.56840297653117,,0.0
1969-08-29,CORN FUTURE       Jul23,101.57495768221177,,-0.0
1969-08-29,LIVE CATTLE FUTR  Aug23,127.2145539161248,,-0.0
1969-09-09,COTTON NO.2 FUTR  Jul23,"Dates
1969-08-29    80.107571
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",81.24847200717134,38901.674685684346
1969-09-09,SOYBEAN FUTURE    Jul23,"Dates
1969-08-29    102.914357
Name: SOYBEAN FUTURE    Jul23, dtype: float64",102.91435723225456,-0.0
1969-09-09,COCOA FUTURE      Jul23,"Dates
1969-08-29    81.568403
Name: COCOA FUTURE      Jul23, dtype: float64",84.43045220377786,0.0
